#,NUMERO,STATUS,ED,DESCRICAO,RÓTULOS,CARGA ATUAL,SETOR DO RESPONSÁVEL,CAMPUS DA CARGA,VALOR AQUISIÇÃO,VALOR DEPRECIADO,NUMERO NOTA FISCAL,NÚMERO DE SÉRIE,DATA DA ENTRADA,DATA DA CARGA,FORNECEDOR,SALA,ESTADO DE CONSERVAÇÃO
11,94309,Ativo,35,"NOTEBOOK TIPO VIII, OFFICE SMB 2007, MARCA DELL E4300",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,4515.00,451.50,-,,09/11/2010,09/11/2010,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
12,94310,Ativo,35,"NOTEBOOK TIPO VIII, OFFICE SMB 2007, MARCA DELL E4300",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,4515.00,451.50,-,,09/11/2010,09/11/2010,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
13,94313,Ativo,35,"NOTEBOOK TIPO VIII, OFFICE SMB 2007, MARCA DELL E4300",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,4515.00,451.50,-,,09/11/2010,09/11/2010,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
14,99892,Ativo,35,"SWITCH 8 PORTAS COM AS SEGUINTES CARACTERISTICAS MINIMAS: INTERFACES: 8PORTAS 10/100/1000 AUTO-SENSE, RJ-45, PADRAO: IEEE 802.3 10BASE-T, IEEE     802.3U 100BASE-TX, IEEE 802,3AB PARA 1000BASE-T, IEEE 802,3X FULL DUPLEX    E FLOW CONTROL. MARCA: INTELBRAS                                            ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,169.00,16.90,-,,10/05/2011,10/05/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
15,100621,Ativo,33,APARELHO DE DVD PLAYER. MARCA: PHILIPS,-,Nome Servidor 10 (GR GR-AREA),GR-DIRGER,GR,104.99,11.15,-,,25/05/2011,25/05/2011,-,14 - Estoque - Prédio Multifuncional(Campus Gravataí),Bom
16,102113,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
17,102115,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
18,102123,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
19,102125,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
20,102129,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
21,102131,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
22,102137,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
23,102142,Ativo,35,"NOTEBOOK, MINIMO 2 NUCLEOS E FREQUENCIA MINIMA 2.0 GHZ, MEMORIA 4 GB, HDMINIMO 120 GB. MARCA: HP                                                    ",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,2458.00,245.80,-,,21/07/2011,21/07/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
24,104628,Ativo,35,"MINI-NOTEBOOK, CONFIGURAÇÃO MÍNIMA DE: PROCESSADOR 2 NUCLEOS, CLOK  1,5 GHZ, CACHE L2, 1MB, BARRAMENTO FRONTAL MÍNIMO DE 667 MHZ, 2 GB RAM DDR3, 3 PORTAS USB 2.0,  HD 320 GB SATA 7200 RPM, LEITOR DE CARTÃO INTEGRADO.",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,1300.00,130.00,-,,04/10/2011,04/10/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
25,109369,Ativo,35,"MINI-NOTEBOOK,CONFIGURAÇÃO MÍNIMA PROCESSADOR DE  2 NÚCLEOS, 1,5GHZ, CACHE L2  1MB, BARRAMENTO FRONTAL 667MHZ. MARCA: HP MINI 210-2120BR",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,1300.00,130.00,199,,28/12/2011,28/12/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
26,109377,Ativo,35,"MINI-NOTEBOOK,CONFIGURAÇÃO MÍNIMA PROCESSADOR DE  2 NÚCLEOS, 1,5GHZ, CACHE L2  1MB, BARRAMENTO FRONTAL 667MHZ. MARCA: HP MINI 210-2120BR",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,1300.00,130.00,199,,28/12/2011,28/12/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
27,109380,Ativo,35,"MINI-NOTEBOOK,CONFIGURAÇÃO MÍNIMA PROCESSADOR DE  2 NÚCLEOS, 1,5GHZ, CACHE L2  1MB, BARRAMENTO FRONTAL 667MHZ. MARCA: HP MINI 210-2120BR",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,1300.00,130.00,199,,28/12/2011,28/12/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
28,109382,Ativo,35,"MINI-NOTEBOOK,CONFIGURAÇÃO MÍNIMA PROCESSADOR DE  2 NÚCLEOS, 1,5GHZ, CACHE L2  1MB, BARRAMENTO FRONTAL 667MHZ. MARCA: HP MINI 210-2120BR",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,1300.00,130.00,199,,28/12/2011,28/12/2011,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
29,110084,Ativo,42,"BALCÃO 3 PORTAS, 2 DIVISÓRIAS E 3 PRATELEIRAS. DIMENSÕES APROXIMADAS 1,35M X 0,42M X 0,74M, REVESTIMENTO LISO NA COR OVO, TAMPO EM MDP, ESPESSURA 25MM REVESTIDO EM LAMINADO MELAMÍNICO  DE BAIXA PRESSÃO TEXTURIZADO EM AMBAS AS FACES NA COR OVO. MARCA: DEMOVELLI",-,Nome Servidor 7 (GR GR-AREA),GR-DEAP,GR,243.99,26.22,2703,,21/12/2011,21/12/2011,-,15 - DEAP / Gestão de Pessoas - Prédio Multifuncional(Campus Gravataí),Bom
30,114227,Ativo,42,"MESA REUNIÃO REDONDA. DIMENSÕES: 1200MM DE DIÂMETRO, 740MM DE ALTURA. REVESTIMENTO EM ESTRUTURA DE MADEIRA, LISO, NA COR OVO. ESTRUTURAS DE METAIS, LISO NA COR PRETA. TAMPO EM MDF, ESPESSURA DE 25MM, REVESTIDO COM LAMINADO MELAMÍNICO DE BAIXA PRESSÃO, TEXTURIZADO NAS 2 FACES, NA COR OVO. ACABAMENTO DAS LATERAIS EM FITA DE BORDA EM PVC DE 2MM DE ESPESSURA, NA COR OVO. ESTRUTURA: FIXAÇÃO DA ESTRUTURA ATRAVÉS DE PARAFUSOS 4,5X16. PINTURA EPÓXI-PÓ, NA COR PRETA. MARCA: BELO",-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,150.00,15.12,28389,,27/02/2012,27/02/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
31,117440,Ativo,42,"CADEIRA FIXA PRESIDENTE COM BRAÇOS (ESPALDAR ALTO). DIMENSÕES APROXIMADAS: ENCOSTO: ALTURA 800 MM, LARGURA: 500 MM  ASSENTO: PROFUNDIDADE: 460 MM, LARGURA:  490 MM ALTURA DO ASSENTO EM RELAÇÃO AO PISO: 440 MM MÍNIMO E 540 MM MÁXIMO   A SSENTO ENCOSTO CONFECCIONADOS EM COMPENSADO MULTILAMINADO DE MADEIRA MOLDADA ANATOMICAMENTE A QUENTE COM PRESSÃO DE APROXIMADAMENTE 10 KGF/CM2 E ESPESSURA MÍNIMA DE 10,5 MM. ESPUMA EM POLIURETANO FLEXÍVEL, ISENTO DE CFC. MARCA: LAYOUT",-,Nome Servidor 7 (GR GR-AREA),GR-DEAP,GR,181.89,18.46,302,,26/03/2012,26/03/2012,-,31 - Sala da vigilância(Campus Gravataí),Bom
32,118573,Ativo,42,"CADEIRA FIXA PRESIDENTE COM BRAÇOS (ESPALDAR ALTO). DIMENSÕES APROXIMADAS: ENCOSTO: ALTURA 800 MM, LARGURA: 500 MM  ASSENTO: PROFUNDIDADE: 460 MM, LARGURA:  490 MM ALTURA DO ASSENTO EM RELAÇÃO AO PISO: 440 MM MÍNIMO E 540 MM MÁXIMO   ASSENTO ENCOSTO CONFECCIONADOS EM COMPENSADO MULTILAMINADO DE MADEIRA MOLDADA ANATOMICAMENTE A QUENTE COM PRESSÃO DE APROXIMADAMENTE 10 KGF/CM2 E ESPESSURA MÍNIMA DE 10,5 MM. ESPUMA EM POLIURETANO FLEXÍVEL, ISENTO DE CFC",-,Nome Servidor 7 (GR GR-AREA),GR-DEAP,GR,181.89,18.46,303,,26/03/2012,26/03/2012,-,31 - Sala da vigilância(Campus Gravataí),Bom
33,118578,Ativo,42,"CADEIRA FIXA PRESIDENTE COM BRAÇOS (ESPALDAR ALTO). DIMENSÕES APROXIMADAS: ENCOSTO: ALTURA 800 MM, LARGURA: 500 MM  ASSENTO: PROFUNDIDADE: 460 MM, LARGURA:  490 MM ALTURA DO ASSENTO EM RELAÇÃO AO PISO: 440 MM MÍNIMO E 540 MM MÁXIMO   ASSENTO ENCOSTO CONFECCIONADOS EM COMPENSADO MULTILAMINADO DE MADEIRA MOLDADA ANATOMICAMENTE A QUENTE COM PRESSÃO DE APROXIMADAMENTE 10 KGF/CM2 E ESPESSURA MÍNIMA DE 10,5 MM. ESPUMA EM POLIURETANO FLEXÍVEL, ISENTO DE CFC",-,Nome Servidor 10 (GR GR-AREA),GR-DIRGER,GR,181.89,18.46,303,,26/03/2012,26/03/2012,-,20 - Miniauditório - Prédio Multifuncional(Campus Gravataí),Bom
34,118581,Ativo,42,"CADEIRA FIXA PRESIDENTE COM BRAÇOS (ESPALDAR ALTO). DIMENSÕES APROXIMADAS: ENCOSTO: ALTURA 800 MM, LARGURA: 500 MM  ASSENTO: PROFUNDIDADE: 460 MM, LARGURA:  490 MM ALTURA DO ASSENTO EM RELAÇÃO AO PISO: 440 MM MÍNIMO E 540 MM MÁXIMO   ASSENTO ENCOSTO CONFECCIONADOS EM COMPENSADO MULTILAMINADO DE MADEIRA MOLDADA ANATOMICAMENTE A QUENTE COM PRESSÃO DE APROXIMADAMENTE 10 KGF/CM2 E ESPESSURA MÍNIMA DE 10,5 MM. ESPUMA EM POLIURETANO FLEXÍVEL, ISENTO DE CFC",-,Nome Servidor 10 (GR GR-AREA),GR-DIRGER,GR,181.89,18.46,303,,26/03/2012,26/03/2012,-,20 - Miniauditório - Prédio Multifuncional(Campus Gravataí),Bom
35,118582,Ativo,42,"CADEIRA FIXA PRESIDENTE COM BRAÇOS (ESPALDAR ALTO). DIMENSÕES APROXIMADAS: ENCOSTO: ALTURA 800 MM, LARGURA: 500 MM  ASSENTO: PROFUNDIDADE: 460 MM, LARGURA:  490 MM ALTURA DO ASSENTO EM RELAÇÃO AO PISO: 440 MM MÍNIMO E 540 MM MÁXIMO   ASSENTO ENCOSTO CONFECCIONADOS EM COMPENSADO MULTILAMINADO DE MADEIRA MOLDADA ANATOMICAMENTE A QUENTE COM PRESSÃO DE APROXIMADAMENTE 10 KGF/CM2 E ESPESSURA MÍNIMA DE 10,5 MM. ESPUMA EM POLIURETANO FLEXÍVEL, ISENTO DE CFC",-,Nome Servidor 10 (GR GR-AREA),GR-DIRGER,GR,181.89,18.46,303,,26/03/2012,26/03/2012,-,20 - Miniauditório - Prédio Multifuncional(Campus Gravataí),Bom
36,118587,Ativo,42,"CADEIRA FIXA PRESIDENTE COM BRAÇOS (ESPALDAR ALTO). DIMENSÕES APROXIMADAS: ENCOSTO: ALTURA 800 MM, LARGURA: 500 MM  ASSENTO: PROFUNDIDADE: 460 MM, LARGURA:  490 MM ALTURA DO ASSENTO EM RELAÇÃO AO PISO: 440 MM MÍNIMO E 540 MM MÁXIMO   ASSENTO ENCOSTO CONFECCIONADOS EM COMPENSADO MULTILAMINADO DE MADEIRA MOLDADA ANATOMICAMENTE A QUENTE COM PRESSÃO DE APROXIMADAMENTE 10 KGF/CM2 E ESPESSURA MÍNIMA DE 10,5 MM. ESPUMA EM POLIURETANO FLEXÍVEL, ISENTO DE CFC",-,Nome Servidor 10 (GR GR-AREA),GR-DIRGER,GR,181.89,18.46,303,,26/03/2012,26/03/2012,-,20 - Miniauditório - Prédio Multifuncional(Campus Gravataí),Bom
37,120951,Ativo,42,"ARMÁRIO ALTO COM 2 PORTAS BAIXAS (TIPO ESTANTE). DIMENSÕES MÍNIMAS:1,60MX0,90MX0,40M (ALTURAXLARGURAXPROFUNDIDADE). REVESTIMENTO: LISO, NA COR OVO. TAMPO EM MADEIRA MDP. ESPESSURA MÍNIMA DE 25MM, REVESTIDO COM LAMINADO MELAMÍNICO DE BAIXA PRESSÃO EM AMBAS AS FACES, NA COR OVO. BORDA FRONTAL ARREDONDADA, COM ÂNGULO DE 180º, ACABAMENTO NAS LATERAIS EM FITA DE BORDA DE PVC DE, NO MÍNIMO, 2MM DE ESPESSURA, NA COR OVO. ESTRUTURA DO ARMÁRIO: PORTAS, LATERAIS, FUNDO, CHÃO E PRATELEIRAS CONFECCIONADAS EM MADEIRA MDP. ESPESSURA MÍNIMA DE 15MM, REVESTIDO COM LAMINADO MELAMÍNICO DE BAIXA PRESSÃO, TEXTURIZADO EM AMBAS AS FACES, NA COR OVO. PUXADORES DE PORTA DO TIPO MEIA LUA. DIVISÓRIA INTERNA VERTICAL. RODAPÉ COM ALTURA MÍNIMA DE 50MM, NA COR OVO E COM REGULAGEM DE ALTURA. POSSUI FECHADURA.
MARCA:BENTO OFFICE",-,Nome Servidor 1 (GR GR-AREA),GR-COTIN,GR,260.00,26.00,19,,02/04/2012,02/04/2012,-,16 - COTIN - Prédio Multifuncional(Campus Gravataí),Bom
38,129802,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
39,129806,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
40,129807,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
41,129870,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
42,129873,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
43,129874,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
44,129875,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
45,129876,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
46,129879,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
47,129911,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
48,129912,Ativo,18,Livro - APRENDENDO A APRENDER - BASTOS (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
49,129967,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
50,129968,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
51,129969,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
52,129970,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
53,129971,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
54,129979,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
55,129980,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
56,130049,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
57,130050,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
58,130051,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
59,130052,Ativo,18,LIVRO - EDUCAÇÃO E SOCIOLOGIA (VOZES),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,15.18,0.00,2807,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
60,130160,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
61,130164,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
62,130165,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
63,130181,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
64,130184,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
65,130185,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
66,130186,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
67,130187,Ativo,18,LIVRO - ABC DA EDUCAÇÃO A DISTÂNCIA (PEARSON),-,Nome Servidor 2 (GR GR-AREA),GR-COEFE,GR,32.84,0.00,2744,,15/10/2012,15/10/2012,-,37 - BIBLIOTECA - Prédio Oficinas.(Campus Gravataí),Bom
